Term1,Term2,Term3,TrigramFreq,BigramContextFreq,TrigramProb
bien,enojados,&,1,1,1.0
se,hartaron,&,1,1,1.0
$,f,ajajaja,1,3,0.3333333333333333
f,ajajaja,&,1,1,1.0
que,es,una,1,2,0.5
productos,estan,bn,1,1,1.0
de,productos,estan,1,1,1.0
es,una,foto,1,2,0.5
ya,se,hartaron,1,6,0.16666666666666666
parte,de,productos,1,1,1.0
que,ya,se,1,3,0.3333333333333333
$,no,habia,1,116,0.008620689655172414
la,parte,de,1,1,1.0
ve,que,ya,1,2,0.5
no,habia,visto,1,1,1.0
se,escuchan,bien,1,1,1.0
mis,directores,la,1,1,1.0
habia,visto,&,1,1,1.0
directores,la,parte,1,1,1.0
los,labs,&,1,1,1.0
estoy,en,el,1,3,0.3333333333333333
las,notas,de,1,1,1.0
de,hoy,?,1,3,0.3333333333333333
gammas,de,hoy,1,1,1.0
las,gammas,de,1,1,1.0
de,las,gammas,1,8,0.125
lo,de,las,1,9,0.1111111111111111
notas,de,lo,1,1,1.0
pasar,las,notas,1,1,1.0
parece,que,se,1,2,0.5
puedes,pasar,las,1,1,1.0
$,puedes,pasar,1,4,0.25
se,estan,peleando,1,1,1.0
blanquel,?,?,1,1,1.0
claudia,blanquel,?,1,1,1.0
con,claudia,blanquel,1,1,1.0
que,se,estan,1,8,0.125
hoy,?,?,1,4,0.25
en,el,punto,1,11,0.09090909090909091
mandó,la,awelita,1,1,1.0
voy,a,reenviar,1,6,0.16666666666666666
lo,voy,a,1,1,1.0
$,lo,voy,1,8,0.125
de,mariana,&,1,2,0.5
awelita,de,mariana,1,1,1.0
la,awelita,de,1,1,1.0
lo,mandó,la,1,1,1.0
$,porfas,&,1,1,1.0
porque,lo,mandó,1,1,1.0
$,porque,lo,1,17,0.058823529411764705
sentí,mal,&,1,1,1.0
me,sentí,mal,1,1,1.0
que,me,sentí,1,6,0.16666666666666666
$,parece,que,1,1,1.0
quedaron,con,claudia,1,1,1.0
se,quedaron,con,1,1,1.0
estan,peleando,jajaj,1,1,1.0
de,tete,si,1,1,1.0
saber,xd,&,1,1,1.0
debería,saber,xd,1,1,1.0
si,debería,saber,1,1,1.0
con,la,peticion,1,2,0.5
la,peticion,que,1,1,1.0
tete,si,debería,1,1,1.0
director,de,tete,1,1,1.0
peleando,jajaj,xd,1,1,1.0
peticion,que,traen,1,1,1.0
tu,director,de,1,1,1.0
$,tu,director,1,6,0.16666666666666666
que,traen,ellos,1,1,1.0
punto,4,&,1,1,1.0
el,punto,4,1,1,1.0
$,weno,yo,1,12,0.08333333333333333
tema,con,la,1,1,1.0
weno,yo,digo,1,1,1.0
$,lorem,ipsum,1,1,1.0
lorem,ipsum,dolor,1,1,1.0
no,ma,los,1,53,0.018867924528301886
ipsum,dolor,sit,1,1,1.0
un,tema,con,1,1,1.0
dolor,sit,amet,1,1,1.0
hay,un,tema,1,2,0.5
sit,amet,&,1,1,1.0
si,se,quedaron,1,11,0.09090909090909091
que,hay,un,1,2,0.5
creo,que,hay,1,14,0.07142857142857142
que,creo,que,1,1,1.0
es,que,creo,1,24,0.041666666666666664
jajaj,xd,&,1,1,1.0
ma,los,que,1,1,1.0
de,tiempo,&,1,3,0.3333333333333333
-,select,num_poliza,1,1,1.0
era,la,copia,1,1,1.0
los,ejercicios,venían,1,2,0.5
los,ejercicios,&,1,2,0.5
ma,",",parece,1,1,1.0
",",parece,que,1,1,1.0
parece,que,en,1,2,0.5
copia,de,los,1,1,1.0
la,copia,de,1,1,1.0
literal,era,la,1,1,1.0
venían,el,7,1,1,1.0
$,literal,era,1,1,1.0
bn,tranqui,&,1,1,1.0
estuvo,bn,tranqui,1,2,0.5
xamen,estuvo,bn,1,1,1.0
ele,xamen,estuvo,1,1,1.0
$,ele,xamen,1,1,1.0
que,en,este,1,2,0.5
ejercicios,venían,el,1,1,1.0
no,ma,",",1,53,0.018867924528301886
fuiste,hoy,?,1,1,1.0
poliza,',;,1,1,1.0
y,5,&,1,1,1.0
3,y,5,1,1,1.0
',&,poliza,1,1,1.0
al,3,y,1,1,1.0
similares,al,3,1,1,1.0
muuuuuuuuy,similares,al,1,1,1.0
&,poliza,',1,1,1.0
unos,muuuuuuuuy,similares,1,1,1.0
sip,voy,&,1,1,1.0
y,unos,muuuuuuuuy,1,1,1.0
8,y,unos,1,1,1.0
el,8,y,1,1,1.0
',;,&,1,1,1.0
7,el,8,1,2,0.5
el,7,el,1,1,1.0
$,sip,voy,1,7,0.14285714285714285
en,este,proyecto,1,1,1.0
no,fuiste,hoy,1,1,1.0
select,num_poliza,",",1,1,1.0
lo,que,hago,1,7,0.14285714285714285
hacer,el,protocolo,1,1,1.0
es,buena,por,1,1,1.0
voya,hacer,el,1,1,1.0
buena,por,lo,1,1,1.0
ia,voya,hacer,1,1,1.0
en,ia,voya,1,1,1.0
por,lo,que,1,1,1.0
que,hago,jajajaja,1,1,1.0
paga,es,buena,1,1,1.0
hago,jajajaja,&,1,1,1.0
no,maaaa,ya,1,4,0.25
maaaa,ya,escuchaste,1,1,1.0
ya,escuchaste,eso,1,1,1.0
escuchaste,eso,?,1,1,1.0
eso,?,&,1,1,1.0
$,alv,x2,1,5,0.2
$,siiii,dogoooo,1,1,1.0
la,paga,es,1,1,1.0
porque,no,fuiste,1,6,0.16666666666666666
corta,edad,de,1,1,1.0
este,proyecto,te,1,1,1.0
proyecto,te,explotan,1,1,1.0
te,explotan,&,1,1,1.0
a,mi,corta,1,17,0.058823529411764705
entonces,porque,no,1,1,1.0
