Term1,Term2,Term3,TrigramFreq,BigramContextFreq,TrigramProb
a,asomar,&,2,2,1.0
siii,",",ya,2,43,0.046511627906976744
que,mis,amigos,2,4,0.5
la,universidad,&,2,2,1.0
creo,haberlo,soñado,2,2,1.0
no,creo,haberlo,2,10,0.2
serio,",",no,2,2,1.0
en,serio,",",2,15,0.13333333333333333
me,gusta,mucho,2,9,0.2222222222222222
$,esque,me,2,13,0.15384615384615385
el,correo,y,2,3,0.6666666666666666
que,si,&,2,42,0.047619047619047616
con,mis,amigos,2,3,0.6666666666666666
$,en,mi,2,32,0.0625
a,mis,amigos,2,5,0.4
$,si,",",2,53,0.03773584905660377
$,okay,&,2,2,1.0
el,eterno,resplandor,2,2,1.0
$,siii,te,2,72,0.027777777777777776
",",de,hecho,2,12,0.16666666666666666
",",yo,solo,2,20,0.1
siii,",",es,2,43,0.046511627906976744
",",es,lo,2,8,0.25
",",cuando,llego,2,5,0.4
buena,idea,&,2,2,1.0
",",aun,asi,2,6,0.3333333333333333
$,bueno,al,2,13,0.15384615384615385
solo,habia,visto,2,2,1.0
",",solo,me,2,14,0.14285714285714285
$,que,buenoo,2,19,0.10526315789473684
",",lo,bueno,2,9,0.2222222222222222
es,cuando,más,2,2,1.0
me,pongo,a,2,2,1.0
ya,en,la,2,2,1.0
yo,tampoco,",",2,4,0.5
la,hora,que,2,3,0.6666666666666666
a,la,hora,2,42,0.047619047619047616
con,eso,&,2,3,0.6666666666666666
mas,grande,de,2,3,0.6666666666666666
la,mas,grande,2,2,1.0
cuidado,a,tu,2,3,0.6666666666666666
se,van,a,2,3,0.6666666666666666
que,bueno,",",2,7,0.2857142857142857
tan,lejos,&,2,2,1.0
el,fin,",",2,3,0.6666666666666666
esa,no,la,2,3,0.6666666666666666
las,personas,que,2,2,1.0
que,en,realidad,2,6,0.3333333333333333
si,",",no,2,12,0.16666666666666666
de,la,.,2,40,0.05
está,buena,",",2,3,0.6666666666666666
mi,casa,&,2,4,0.5
llegué,a,mi,2,3,0.6666666666666666
$,apoco,?,2,3,0.6666666666666666
a,ti,te,2,7,0.2857142857142857
$,ahhh,yaaa,2,21,0.09523809523809523
$,es,mejor,2,18,0.1111111111111111
casi,no,&,2,8,0.25
hoy,no,le,2,5,0.4
si,te,gustan,2,16,0.125
$,ya,está,2,33,0.06060606060606061
$,de,todos,2,23,0.08695652173913043
$,tal,vez,2,2,1.0
de,todos,modos,2,2,1.0
a,brito,&,2,2,1.0
por,si,no,2,8,0.25
$,el,tuyo,2,10,0.2
para,ver,si,2,5,0.4
en,uno,&,2,2,1.0
$,hasta,ahora,2,5,0.4
no,tener,que,2,2,1.0
de,aqui,al,2,3,0.6666666666666666
$,siii,solo,2,72,0.027777777777777776
el,de,ia,2,11,0.18181818181818182
$,el,de,2,10,0.2
$,y,lo,2,51,0.0392156862745098
$,yp,creo,2,6,0.3333333333333333
se,va,a,2,3,0.6666666666666666
gabygod,?,&,2,3,0.6666666666666666
a,las,2,2,14,0.14285714285714285
el,profe,&,2,8,0.25
por,cierto,gabygod,2,2,1.0
recuerdo,que,dijo,2,8,0.25
$,@,5215585543855,2,3,0.6666666666666666
$,valee,&,2,5,0.4
en,serio,&,2,15,0.13333333333333333
muy,poquitas,&,2,2,1.0
si,vamos,a,2,3,0.6666666666666666
$,por,cierto,2,9,0.2222222222222222
1,y,2,2,2,1.0
recolectando,porque,dijo,2,2,1.0
gracias,por,el,2,3,0.6666666666666666
co,co,co,2,3,0.6666666666666666
a,ser,por,2,4,0.5
lo,bueno,&,2,9,0.2222222222222222
iba,a,poner,2,10,0.2
$,no,le,2,68,0.029411764705882353
porque,dice,que,2,2,1.0
yo,no,&,2,11,0.18181818181818182
que,se,lo,2,26,0.07692307692307693
$,me,lo,2,31,0.06451612903225806
$,ya,le,2,33,0.06060606060606061
