Term1,Term2,BigramFreq,ContextFreq,BigramProb
",",está,4,515,0.007766990291262136
parte,de,4,11,0.36363636363636365
tener,que,4,10,0.4
30,&,4,5,0.8
:,30,4,7,0.5714285714285714
de,este,4,348,0.011494252873563218
que,tal,4,578,0.006920415224913495
ya,",",4,175,0.022857142857142857
aquí,&,4,10,0.4
protocolo,&,4,10,0.4
por,mi,4,80,0.05
está,muy,4,50,0.08
igual,que,4,68,0.058823529411764705
ya,de,4,175,0.022857142857142857
de,ahí,4,348,0.011494252873563218
siii,y,4,84,0.047619047619047616
por,favor,4,80,0.05
visto,que,4,13,0.3076923076923077
pero,aun,4,140,0.02857142857142857
5,&,4,10,0.4
al,final,4,51,0.0784313725490196
rato,&,4,6,0.6666666666666666
he,visto,4,17,0.23529411764705882
$,noo,4,1514,0.002642007926023778
no,la,4,328,0.012195121951219513
con,cuidado,4,71,0.056338028169014086
vale,vale,4,26,0.15384615384615385
gracias,gaby,4,27,0.14814814814814814
que,ir,4,578,0.006920415224913495
si,la,4,279,0.014336917562724014
no,nos,4,328,0.012195121951219513
pero,yo,4,140,0.02857142857142857
de,mis,4,348,0.011494252873563218
ya,le,4,175,0.022857142857142857
son,de,4,29,0.13793103448275862
se,pasó,4,143,0.027972027972027972
con,un,4,71,0.056338028169014086
que,los,4,578,0.006920415224913495
$,fue,4,1514,0.002642007926023778
que,mis,4,578,0.006920415224913495
bueno,si,4,49,0.08163265306122448
tu,escuela,4,51,0.0784313725490196
porque,no,4,61,0.06557377049180328
$,aunque,4,1514,0.002642007926023778
$,oohhh,4,1514,0.002642007926023778
la,luna,4,325,0.012307692307692308
de,semana,4,348,0.011494252873563218
$,ohh,4,1514,0.002642007926023778
mi,casa,4,76,0.05263157894736842
",",nos,4,515,0.007766990291262136
escuela,",",4,28,0.14285714285714285
es,muy,4,163,0.024539877300613498
la,pena,4,325,0.012307692307692308
mejor,",",4,34,0.11764705882352941
lo,voy,4,190,0.021052631578947368
no,tengo,4,328,0.012195121951219513
vi,que,4,10,0.4
buen,de,4,8,0.5
se,puede,4,143,0.027972027972027972
por,la,4,80,0.05
el,viernes,3,252,0.011904761904761904
$,qué,3,1514,0.0019815059445178335
me,toco,3,217,0.013824884792626729
si,era,3,279,0.010752688172043012
