Term1,Term2,BigramFreq,ContextFreq,BigramProb
nerviosos,.,1,1,1.0
nosotros,nerviosos,1,8,0.125
tranquila,y,1,1,1.0
nosotros,3,1,8,0.125
tú,tranquila,1,3,0.3333333333333333
3,entonces,1,5,0.2
entonces,.,1,5,0.2
100,*,1,1,1.0
$,100,1,416,0.002403846153846154
falta,gabygod,1,3,0.3333333333333333
que,falta,1,61,0.01639344262295082
rifamos,lo,1,1,1.0
nos,rifamos,1,20,0.05
nosotros,nos,1,8,0.125
también,esta,1,7,0.14285714285714285
),",",1,5,0.2
bastante,),1,1,1.0
contesté,wey,1,1,1.0
le,contesté,1,14,0.07142857142857142
hasta,le,1,2,0.5
$,hablale,1,416,0.002403846153846154
de,nuestro,1,54,0.018518518518518517
hago,la,1,2,0.5
nuestro,protocolo,1,3,0.3333333333333333
protocolo,wey,1,12,0.08333333333333333
$,alrato,1,416,0.002403846153846154
alrato,le,1,1,1.0
le,hago,1,14,0.07142857142857142
maaaaas,&,1,1,1.0
dato,maaaaas,1,1,1.0
y,de,1,32,0.03125
le,avanzó,1,14,0.07142857142857142
avanzó,al,1,1,1.0
un,dato,1,15,0.06666666666666667
te,creo,1,16,0.0625
al,protocolo,1,10,0.1
aaaaaa,&,1,1,1.0
sabemooos,aaaaaa,1,1,1.0
no,sabemooos,1,56,0.017857142857142856
146,xd,1,1,1.0
hablale,de,1,1,1.0
confirmooo,&,1,1,1.0
dia,de,1,1,1.0
la,broma,1,29,0.034482758620689655
ya,hasta,1,32,0.03125
valió,&,1,1,1.0
ya,valió,1,32,0.03125
aaaaaaaaaaaaaa,&,1,1,1.0
$,aaaaaaaaaaaaaa,1,416,0.002403846153846154
jajsjss,&,1,1,1.0
de,hoy,1,54,0.018518518518518517
hoy,gummyfriends,1,1,1.0
gummyfriends,agarraron,1,3,0.3333333333333333
pipa,jajsjss,1,4,0.25
agarraron,toda,1,1,1.0
toda,la,1,1,1.0
la,claseeeeee,1,29,0.034482758620689655
es,pipa,1,13,0.07692307692307693
jajsjsjsjs,&,1,1,1.0
$,jajsjsjsjs,1,416,0.002403846153846154
claseeeeee,&,1,1,1.0
broma,?,1,1,1.0
$,confirmooo,1,416,0.002403846153846154
de,acuerdo,1,54,0.018518518518518517
etc,",",1,1,1.0
mañanita,.,1,1,1.0
gabygod,nos,1,58,0.017241379310344827
sacar,del,1,2,0.5
por,no,1,20,0.05
pero,vale,1,13,0.07692307692307693
no,hacer,1,56,0.017857142857142856
hacer,nadaaaaa,1,6,0.16666666666666666
expresión,&,1,1,1.0
de,expresión,1,54,0.018518518518518517
nadaaaaa,&,1,1,1.0
libertad,de,1,1,1.0
hay,libertad,1,4,0.25
aqui,no,1,3,0.3333333333333333
",",aqui,1,64,0.015625
eh,",",1,1,1.0
gracias,gab,1,21,0.047619047619047616
$,eh,1,416,0.002403846153846154
gab,&,1,1,1.0
algo,?,1,1,1.0
?,algo,1,65,0.015384615384615385
ig,?,1,2,0.5
$,ok,1,416,0.002403846153846154
no,gabygod,1,56,0.017857142857142856
cual,práctica,1,2,0.5
ok,gabygod,1,1,1.0
5215565635201,le,1,9,0.1111111111111111
verdad,mi,1,3,0.3333333333333333
le,tenemos,1,14,0.07142857142857142
tenemos,que,1,2,0.5
que,dar,1,61,0.01639344262295082
teoría,y,1,5,0.2
esta,teoría,1,15,0.06666666666666667
tengo,esta,1,4,0.25
dar,a,1,2,0.5
ig,&,1,2,0.5
pop,ig,1,6,0.16666666666666666
y,a,1,32,0.03125
respuesta,&,1,1,1.0
la,respuesta,1,29,0.034482758620689655
tiene,la,1,5,0.2
no,fumar,1,56,0.017857142857142856
$,tiene,1,416,0.002403846153846154
gracias,.,1,21,0.047619047619047616
nlp,por,1,7,0.14285714285714285
¿,ig,1,4,0.25
práctica,?,1,1,1.0
nos,pasen,1,20,0.05
unas,hipótesis,1,1,1.0
generación,de,1,1,1.0
la,generación,1,29,0.034482758620689655
es,para,1,13,0.07692307692307693
se,ve,1,28,0.03571428571428571
ve,bien,1,1,1.0
",",es,1,64,0.015625
bien,gabygoooood,1,4,0.25
gabygoooood,.,1,1,1.0
importante,",",1,1,1.0
$,graciaaaas,1,416,0.002403846153846154
graciaaaas,&,1,1,1.0
muy,importante,1,3,0.3333333333333333
pregunta,muy,1,2,0.5
pero,mañana,1,13,0.07692307692307693
mañana,dice,1,8,0.125
una,pregunta,1,11,0.09090909090909091
tenemos,una,1,2,0.5
te,tenemos,1,16,0.0625
5215512499392,te,1,19,0.05263157894736842
de,unas,1,54,0.018518518518518517
hipótesis,que,1,1,1.0
$,entendí,1,416,0.002403846153846154
que,estamos,1,61,0.01639344262295082
?,¿,1,65,0.015384615384615385
x,?,1,1,1.0
entendí,mal,1,3,0.3333333333333333
¿,x,1,4,0.25
mal,xdxdxd,1,2,0.5
le,grites,1,14,0.07142857142857142
o,¿,1,4,0.25
?,o,1,65,0.015384615384615385
grites,jr,1,1,1.0
tiktok,?,1,1,1.0
usas,tiktok,1,1,1.0
¿,usas,1,4,0.25
$,gabygod,1,416,0.002403846153846154
saques,del,1,2,0.5
trabajamos,&,1,2,0.5
$,¿,1,416,0.002403846153846154
haciendo,.,1,3,0.3333333333333333
but,",",1,2,0.5
estamos,haciendo,1,6,0.16666666666666666
pasen,🙏,1,1,1.0
mi,teoría,1,4,0.25
ya,mañanita,1,32,0.03125
semma,",",1,1,1.0
eso,(,1,4,0.25
hacer,eso,1,6,0.16666666666666666
permita,hacer,1,1,1.0
mal,del,1,2,0.5
nos,permita,1,20,0.05
del,puerco,1,17,0.058823529411764705
metodología,que,1,4,0.25
una,metodología,1,11,0.09090909090909091
buscar,una,1,1,1.0
puerco,),1,1,1.0
),hago,1,5,0.2
a,buscar,1,47,0.02127659574468085
hago,una,1,2,0.5
una,tarea,1,11,0.09090909090909091
tarea,de,1,2,0.5
solo,voy,1,9,0.1111111111111111
diagrama,",",1,1,1.0
el,diagrama,1,47,0.02127659574468085
de,ia,1,54,0.018518518518518517
(,semma,1,16,0.0625
el,mal,1,47,0.02127659574468085
y,el,1,32,0.03125
",",scrum,1,64,0.015625
solo,llego,1,9,0.1111111111111111
llego,a,1,1,1.0
pero,ya,1,13,0.07692307692307693
),pero,1,5,0.2
muchos,),1,1,1.0
a,mi,1,47,0.02127659574468085
mi,casa,1,4,0.25
casa,",",1,1,1.0
como,",",1,8,0.125
hay,muchos,1,4,0.25
",",hay,1,64,0.015625
pop,xdxd,1,6,0.16666666666666666
prototipos,etc,1,1,1.0
",",prototipos,1,64,0.015625
me,duermo,1,24,0.041666666666666664
scrum,",",1,1,1.0
duermo,(,1,1,1.0
(,me,1,16,0.0625
dio,el,1,4,0.25
ia,y,1,1,1.0
fases,y,1,1,1.0
teoría,se,1,5,0.2
$,hola,1,416,0.002403846153846154
tik,tok,1,1,1.0
$,tik,1,416,0.002403846153846154
clon,.,1,3,0.3333333333333333
un,clon,1,15,0.06666666666666667
tiene,un,1,5,0.2
que,tiene,1,61,0.01639344262295082
una,misa,1,11,0.09090909090909091
teoría,",",1,5,0.2
misa,",",1,1,1.0
",",estrese,1,64,0.015625
estrese,a,1,1,1.0
los,sinodales,1,11,0.09090909090909091
realidad,.,1,1,1.0
la,realidad,1,29,0.034482758620689655
sinodales,",",1,1,1.0
más,a,1,2,0.5
acerca,más,1,1,1.0
se,acerca,1,28,0.03571428571428571
y,nos,1,32,0.03125
tok,&,1,1,1.0
hola,gummyfriends,1,3,0.3333333333333333
y,luego,1,32,0.03125
gummyfriends,&,1,3,0.3333333333333333
las,fases,1,8,0.125
luego,ya,1,2,0.5
ya,el,1,32,0.03125
que,cuándo,1,61,0.01639344262295082
cuándo,defendamos,1,2,0.5
quedaron,las,1,1,1.0
ya,quedaron,1,32,0.03125
xd,ya,1,15,0.06666666666666667
casi,xd,1,1,1.0
defendamos,el,1,1,1.0
bueno,casi,1,1,1.0
",",bueno,1,64,0.015625
tt,el,1,2,0.5
el,@,1,47,0.02127659574468085
quedó,la,1,1,1.0
5215565635201,se,1,9,0.1111111111111111
se,aviente,1,28,0.03571428571428571
aviente,una,1,1,1.0
ya,quedó,1,32,0.03125
de,no,1,54,0.018518518518518517
$,buenos,1,416,0.002403846153846154
fumar,*,1,1,1.0
$,ayudame,1,416,0.002403846153846154
un,cabrón,1,15,0.06666666666666667
