Term1,Term2,Term3,TrigramFreq,BigramContextFreq,TrigramProb
dime,gerrygod,&,2,2,1.0
$,qué,tal,2,16,0.125
el,jueves,&,2,4,0.5
te,vas,a,2,2,1.0
$,sisis,&,2,5,0.4
$,una,disculpa,2,2,1.0
el,viernes,),2,10,0.2
ya,casi,terminas,2,3,0.6666666666666666
casi,terminas,",",2,2,1.0
$,vavava,igual,2,49,0.04081632653061224
$,jajajaja,vava,2,39,0.05128205128205128
no,digas,jajaja,2,7,0.2857142857142857
digas,jajaja,&,2,2,1.0
jajaja,ㅠㅠㅠㅠ,&,2,3,0.6666666666666666
parte,de,la,2,4,0.5
$,ntp,gerrygod,2,9,0.2222222222222222
",",ya,sabes,2,3,0.6666666666666666
$,dime,gerrygod,2,8,0.25
$,muchas,arigathanks,2,9,0.2222222222222222
$,ya,casi,2,57,0.03508771929824561
año,nuevo,&,2,2,1.0
$,te,aviso,2,9,0.2222222222222222
",",nos,vemos,2,2,1.0
$,sisi,&,2,5,0.4
nada,",",gerrygod,2,5,0.4
$,gerry,¿,2,16,0.125
equipo,?,&,2,2,1.0
la,ituclase,&,2,5,0.4
$,gerry,&,2,16,0.125
si,es,en,2,8,0.25
elige,la,felicidad,2,2,1.0
$,y,tú,2,44,0.045454545454545456
esa,clase,&,2,2,1.0
$,igual,yo,2,14,0.14285714285714285
$,fffff,&,2,3,0.6666666666666666
xddd,no,sé,2,2,1.0
es,en,la,2,6,0.3333333333333333
$,cuál,tarea,2,3,0.6666666666666666
ya,sabes,&,2,9,0.2222222222222222
fue,la,onda,2,2,1.0
en,la,del,2,24,0.08333333333333333
a,hacer,nada,2,4,0.5
reí,fuerte,&,2,3,0.6666666666666666
creo,que,ni,2,44,0.045454545454545456
$,jajajaja,sisoy,2,39,0.05128205128205128
jajajaja,sisoy,&,2,2,1.0
$,a,mí,2,18,0.1111111111111111
a,mí,me,2,2,1.0
$,jaja,&,2,8,0.25
$,muy,pro,2,4,0.5
tengo,una,duda,2,4,0.5
la,clase,del,2,14,0.14285714285714285
$,tú,tranqui,2,3,0.6666666666666666
tú,tranqui,&,2,4,0.5
lo,de,analítica,2,7,0.2857142857142857
¿,ya,hiciste,2,6,0.3333333333333333
$,igual,si,2,14,0.14285714285714285
si,mañana,le,2,4,0.5
vavava,nos,vemos,2,2,1.0
es,que,creo,2,32,0.0625
vamos,a,hacer,2,5,0.4
$,sip,",",2,16,0.125
no,vamos,a,2,2,1.0
me,fue,la,2,2,1.0
$,vale,&,2,5,0.4
el,salón,&,2,4,0.5
$,vavava,al,2,49,0.04081632653061224
vavava,al,rato,2,3,0.6666666666666666
se,me,fue,2,7,0.2857142857142857
es,la,ituclase,2,8,0.25
vi,jajaja,&,2,2,1.0
del,cubano,¿,2,7,0.2857142857142857
a,la,de,2,11,0.18181818181818182
que,era,el,2,6,0.3333333333333333
$,👀,&,2,2,1.0
de,josuégod,&,2,2,1.0
$,dile,a,2,3,0.6666666666666666
está,muy,f,2,4,0.5
$,00,:,2,2,1.0
iba,a,dejar,2,4,0.5
a,la,clase,2,11,0.18181818181818182
si,voy,xddd,2,2,1.0
algo,te,aviso,2,2,1.0
ya,chequé,y,2,2,1.0
ejercicios,y,ya,2,2,1.0
enviarle,los,ejercicios,2,2,1.0
o,si,es,2,5,0.4
eso,si,&,2,5,0.4
ojalá,jajaja,&,2,2,1.0
$,ojalá,jajaja,2,10,0.2
$,ya,que,2,57,0.03508771929824561
¿,?,es,2,52,0.038461538461538464
vavava,bonita,tarde,2,3,0.6666666666666666
creo,que,se,2,44,0.045454545454545456
$,sisisi,&,2,7,0.2857142857142857
$,omg,&,2,6,0.3333333333333333
^,i,),2,2,1.0
¿,ya,estás,2,6,0.3333333333333333
de,decision,",",2,2,1.0
al,cubano,&,2,3,0.6666666666666666
$,con,eso,2,6,0.3333333333333333
con,eso,de,2,7,0.2857142857142857
apenas,voy,a,2,2,1.0
que,se,llama,2,9,0.2222222222222222
$,como,crees,2,8,0.25
que,es,más,2,17,0.11764705882352941
igual,jajaja,&,2,2,1.0
eso,estamos,&,2,6,0.3333333333333333
",",para,eso,2,4,0.5
a,josuégod,&,2,5,0.4
y,me,dijo,2,2,1.0
en,clase,&,2,6,0.3333333333333333
y,creo,que,2,2,1.0
entero,de,algo,2,3,0.6666666666666666
$,si,se,2,38,0.05263157894736842
ya,sé,&,2,3,0.6666666666666666
no,se,te,2,6,0.3333333333333333
se,te,quita,2,5,0.4
holi,",",gerrygod,2,11,0.18181818181818182
$,jajajaja,no,2,39,0.05128205128205128
pues,según,yo,2,2,1.0
$,pues,según,2,9,0.2222222222222222
sisoy,jajaja,&,2,3,0.6666666666666666
$,y,yo,2,44,0.045454545454545456
eso,de,que,2,2,1.0
como,crees,",",2,2,1.0
es,como,una,2,4,0.5
ya,es,un,2,3,0.6666666666666666
$,el,profe,2,11,0.18181818181818182
el,profe,de,2,5,0.4
?,👀,&,2,2,1.0
chance,de,no,2,3,0.6666666666666666
$,dime,&,2,8,0.25
$,espero,que,2,3,0.6666666666666666
espero,que,no,2,5,0.4
$,pero,ya,2,31,0.06451612903225806
igual,",",gerrygod,2,5,0.4
creo,que,va,2,44,0.045454545454545456
buen,día,gerrygod,2,6,0.3333333333333333
voy,a,llegar,2,10,0.2
y,tú,?,2,4,0.5
tú,si,vas,2,3,0.6666666666666666
¿,y,tú,2,6,0.3333333333333333
si,gerrygod,&,2,2,1.0
$,si,gerrygod,2,38,0.05263157894736842
$,al,final,2,6,0.3333333333333333
ti,?,&,2,3,0.6666666666666666
y,si,ㅠㅠㅠㅠ,2,16,0.125
$,como,debe,2,8,0.25
$,gerrygod,ya,2,23,0.08695652173913043
como,debe,ser,2,2,1.0
creo,que,a,2,44,0.045454545454545456
0,:,&,2,4,0.5
que,hacer,un,2,2,1.0
si,ocupas,el,2,2,1.0
gerrygod,ya,andas,2,3,0.6666666666666666
$,qué,sad,2,16,0.125
qué,sad,&,2,2,1.0
y,ya,para,2,15,0.13333333333333333
si,ㅠㅠㅠㅠ,&,2,2,1.0
que,si,no,2,19,0.10526315789473684
que,tengo,una,2,2,1.0
los,de,la,2,4,0.5
que,no,es,2,28,0.07142857142857142
bueno,",",hoy,2,4,0.5
$,oye,y,2,9,0.2222222222222222
$,jajaja,ya,2,53,0.03773584905660377
$,yo,esperaba,2,24,0.08333333333333333
$,gerrygod,que,2,23,0.08695652173913043
00,:,&,2,4,0.5
de,ml,?,2,13,0.15384615384615385
a,subir,la,2,2,1.0
es,cierto,jajaja,2,5,0.4
cierto,jajaja,pero,2,3,0.6666666666666666
rato,nos,vemos,2,2,1.0
al,rato,nos,2,14,0.14285714285714285
11,:,40,2,2,1.0
$,11,:,2,2,1.0
$,no,jajaja,2,40,0.05
$,eso,vi,2,10,0.2
subir,la,asignación,2,2,1.0
$,y,en,2,44,0.045454545454545456
$,ntp,para,2,9,0.2222222222222222
ntp,para,eso,2,2,1.0
en,classroom,&,2,2,1.0
que,no,",",2,28,0.07142857142857142
que,iba,a,2,2,1.0
noche,",",gerrygod,2,3,0.6666666666666666
no,hay,problema,2,8,0.25
en,todo,caso,2,2,1.0
no,es,cierto,2,8,0.25
así,),y,2,2,1.0
solo,trata,de,2,2,1.0
a,las,12,2,8,0.25
ml,?,&,2,2,1.0
$,vavava,gerrygod,2,49,0.04081632653061224
$,yo,voy,2,24,0.08333333333333333
bonitas,vacaciones,&,2,2,1.0
voy,xddd,&,2,3,0.6666666666666666
todo,bien,?,2,4,0.5
bien,?,&,2,2,1.0
$,esta,es,2,2,1.0
$,ya,anda,2,57,0.03508771929824561
y,así,),2,2,1.0
que,el,examen,2,13,0.15384615384615385
esperemos,que,no,2,4,0.5
todo,vaya,cool,2,2,1.0
vaya,cool,&,2,2,1.0
$,no,es,2,40,0.05
se,ve,tan,2,4,0.5
por,lo,menos,2,3,0.6666666666666666
$,no,te,2,40,0.05
en,la,tarde,2,24,0.08333333333333333
nada,más,&,2,13,0.15384615384615385
con,razón,&,2,2,1.0
$,hola,gerrygod,2,8,0.25
muy,pro,&,2,3,0.6666666666666666
que,no,era,2,28,0.07142857142857142
al,rato,te,2,14,0.14285714285714285
contratación,”,&,2,4,0.5
$,se,pasó,2,15,0.13333333333333333
ir,el,viernes,2,2,1.0
",",0,.,2,2,1.0
a,los,profes,2,5,0.4
no,ir,el,2,3,0.6666666666666666
de,la,primera,2,23,0.08695652173913043
lo,del,tt,2,8,0.25
la,mañana,&,2,8,0.25
para,no,ir,2,3,0.6666666666666666
que,no,vayan,2,28,0.07142857142857142
sé,jajaja,&,2,3,0.6666666666666666
a,todos,los,2,2,1.0
$,este,semestre,2,2,1.0
de,ml,&,2,13,0.15384615384615385
$,y,ya,2,44,0.045454545454545456
los,ejercicios,de,2,6,0.3333333333333333
que,si,&,2,19,0.10526315789473684
te,aviso,que,2,12,0.16666666666666666
es,que,si,2,32,0.0625
$,genial,&,2,6,0.3333333333333333
y,dicen,que,2,2,1.0
$,awanta,acaba,2,4,0.5
awanta,acaba,de,2,2,1.0
nada,más,jajaja,2,13,0.15384615384615385
que,bueno,que,2,3,0.6666666666666666
acaba,de,llegar,2,2,1.0
de,llegar,el,2,2,1.0
$,se,lee,2,15,0.13333333333333333
la,red,flag,2,2,1.0
$,como,que,2,8,0.25
$,te,notifico,2,9,0.2222222222222222
te,notifico,que,2,2,1.0
que,si,va,2,19,0.10526315789473684
el,examen,&,2,10,0.2
gerrygod,.,&,2,2,1.0
",",gerrygod,.,2,38,0.05263157894736842
gerrygod,¿,cómo,2,8,0.25
$,jajja,&,2,3,0.6666666666666666
no,?,&,2,3,0.6666666666666666
gerry,una,pregunta,2,2,1.0
$,genial,",",2,6,0.3333333333333333
jaja,es,que,2,2,1.0
que,cura,&,2,2,1.0
pasó,xd,&,2,2,1.0
se,me,había,2,7,0.2857142857142857
en,la,clase,2,24,0.08333333333333333
la,presentación,y,2,5,0.4
es,que,no,2,32,0.0625
creo,que,el,2,44,0.045454545454545456
en,la,escuela,2,24,0.08333333333333333
la,primer,función,2,2,1.0
sin,problemas,&,2,2,1.0
no,sé,",",2,13,0.15384615384615385
¿,qué,pasó,2,3,0.6666666666666666
¿,de,casualidad,2,2,1.0
vava,ntp,&,2,2,1.0
$,vava,ntp,2,27,0.07407407407407407
?,jaja,&,2,3,0.6666666666666666
que,nos,de,2,4,0.5
$,en,el,2,21,0.09523809523809523
de,la,clase,2,23,0.08695652173913043
$,holi,&,2,20,0.1
pasó,?,&,2,2,1.0
así,es,&,2,3,0.6666666666666666
$,ahora,si,2,5,0.4
vavava,muchas,gracias,2,2,1.0
),xdddd,&,2,2,1.0
qué,pasó,?,2,13,0.15384615384615385
$,holi,¿,2,20,0.1
$,vavava,muchas,2,49,0.04081632653061224
$,hola,&,2,8,0.25
vale,",",bonita,2,3,0.6666666666666666
$,nice,&,2,4,0.5
$,¿,me,2,39,0.05128205128205128
$,estamos,en,2,2,1.0
$,pues,es,2,9,0.2222222222222222
ya,jajaja,&,2,2,1.0
$,al,rato,2,6,0.3333333333333333
me,había,olvidado,2,2,1.0
info,que,cura,2,2,1.0
",",tú,tranqui,2,3,0.6666666666666666
la,info,que,2,16,0.125
ya,sabes,cualquier,2,9,0.2222222222222222
sabes,cualquier,cosa,2,2,1.0
qué,pasó,xd,2,13,0.15384615384615385
¿,no,?,2,3,0.6666666666666666
holi,gerry,&,2,3,0.6666666666666666
¿,por,?,2,2,1.0
",",bonita,tarde,2,4,0.5
me,dijeron,que,2,3,0.6666666666666666
dogo,",",karlita,1,1,1.0
?,es,que,1,2,0.5
$,ezequi,",",1,1,1.0
casi,no,hay,1,2,0.5
que,casi,no,1,1,1.0
ezequi,",",dogo,1,1,1.0
",",dogo,",",1,1,1.0
es,que,casi,1,32,0.03125
hay,nadie,xddd,1,1,1.0
no,hay,nadie,1,8,0.125
hay,muy,pocos,1,1,1.0
nadie,xddd,&,1,1,1.0
ya,me,dio,1,5,0.2
verdad,hay,muy,1,1,1.0
muy,pocos,aquí,1,1,1.0
de,verdad,hay,1,2,0.5
porque,de,verdad,1,2,0.5
",",las,próximas,1,1,1.0
y,dogo,porque,1,1,1.0
él,y,dogo,1,1,1.0
ya,él,y,1,1,1.0
menos,ya,él,1,1,1.0
al,menos,ya,1,1,1.0
ya,valió,",",1,3,0.3333333333333333
vavava,al,menos,1,3,0.3333333333333333
el,esponjosito,&,1,1,1.0
valió,",",las,1,1,1.0
jajaja,vavava,al,1,2,0.5
ah,jajaja,vavava,1,2,0.5
pocos,aquí,&,1,1,1.0
dio,amsiedad,&,1,1,1.0
me,dio,amsiedad,1,2,0.5
dogo,porque,de,1,2,0.5
cuando,sea,lo,1,1,1.0
demás,¿,?,1,1,1.0
lo,convenzan,&,1,1,1.0
decirles,para,que,1,1,1.0
que,decirles,para,1,1,1.0
hay,que,decirles,1,8,0.125
cierto,hay,que,1,1,1.0
$,cierto,hay,1,5,0.2
es,lunes,&,1,1,1.0
apenas,es,lunes,1,2,0.5
y,apenas,es,1,2,0.5
tareas,y,apenas,1,1,1.0
de,tareas,y,1,1,1.0
explotando,de,tareas,1,1,1.0
estoy,explotando,de,1,1,1.0
$,estoy,explotando,1,2,0.5
el,miércoles,&,1,2,0.5
examen,el,miércoles,1,1,1.0
haga,examen,el,1,2,0.5
dejan,tarea,como,1,1,1.0
no,haga,examen,1,2,0.5
que,no,haga,1,28,0.03571428571428571
nahum,que,no,1,1,1.0
a,nahum,que,1,4,0.25
diga,a,nahum,1,1,1.0
le,diga,a,1,1,1.0
alguien,le,diga,1,1,1.0
que,alguien,le,1,1,1.0
que,lo,convenzan,1,6,0.16666666666666666
profes,dejan,tarea,1,1,1.0
los,demás,¿,1,1,1.0
jajajaja,no,te,1,2,0.5
y,los,demás,1,4,0.25
josué,y,los,1,1,1.0
venir,josué,y,1,1,1.0
a,venir,josué,1,3,0.3333333333333333
",",karlita,",",1,1,1.0
$,sabes,si,1,1,1.0
gerrygod,ntp,&,1,1,1.0
próximas,clases,voy,1,2,0.5
clases,voy,a,1,1,1.0
sé,gerrygod,ntp,1,1,1.0
si,sé,gerrygod,1,1,1.0
jajaja,si,sé,1,3,0.3333333333333333
a,la,ituclase,1,11,0.09090909090909091
voy,a,participar,1,10,0.1
quiere,ir,a,1,1,1.0
nadie,quiere,ir,1,1,1.0
$,nadie,quiere,1,1,1.0
a,participar,entonces,1,1,1.0
participar,entonces,&,1,1,1.0
creo,gerry,&,1,1,1.0
te,creo,gerry,1,1,1.0
este,semestre,los,1,4,0.25
no,te,creo,1,8,0.125
semestre,los,profes,1,1,1.0
los,profes,dejan,1,7,0.14285714285714285
sabes,si,va,1,4,0.25
el,traidor,que,1,2,0.5
karlita,",",edwin,1,1,1.0
man,es,bien,1,1,1.0
$,ese,man,1,4,0.25
del,miércoles,&,1,1,1.0
lo,del,miércoles,1,8,0.125
fake,lo,del,1,1,1.0
era,fake,lo,1,1,1.0
si,era,fake,1,2,0.5
que,si,era,1,19,0.05263157894736842
ser,que,si,1,1,1.0
parece,ser,que,1,1,1.0
y,parece,ser,1,1,1.0
minería,y,parece,1,1,1.0
de,minería,y,1,2,0.5
humanos,de,minería,1,1,1.0
los,humanos,de,1,2,0.5
a,los,humanos,1,5,0.2
y,a,los,1,7,0.14285714285714285
ezy,y,a,1,2,0.5
a,ezy,y,1,1,1.0
y,todavía,quería,1,3,0.3333333333333333
todavía,quería,que,1,1,1.0
quería,que,la,1,1,1.0
pregunté,a,ezy,1,1,1.0
que,la,fecha,1,9,0.1111111111111111
le,pregunté,a,1,2,0.5
$,le,pregunté,1,6,0.16666666666666666
ese,man,es,1,1,1.0
es,bien,masiosare,1,2,0.5
árboles,de,decisión,1,1,1.0
bien,masiosare,&,1,2,0.5
nada,que,el,1,2,0.5
$,nada,que,1,6,0.16666666666666666
faltan,exponer,&,1,1,1.0
que,faltan,exponer,1,1,1.0
los,que,faltan,1,4,0.25
mañana,los,que,1,1,1.0
que,mañana,los,1,2,0.5
supone,que,mañana,1,1,1.0
se,supone,que,1,1,1.0
$,se,supone,1,15,0.06666666666666667
en,procesos,&,1,1,1.0
mañana,en,procesos,1,1,1.0
nahum,mañana,en,1,1,1.0
a,nahum,mañana,1,4,0.25
preguntarle,a,nahum,1,2,0.5
pueden,preguntarle,a,1,1,1.0
si,pueden,preguntarle,1,1,1.0
ver,si,pueden,1,11,0.09090909090909091
pues,a,ver,1,1,1.0
pero,pues,a,1,3,0.3333333333333333
$,pero,pues,1,31,0.03225806451612903
fake,bro,&,1,1,1.0
es,fake,bro,1,3,0.3333333333333333
yo,es,fake,1,1,1.0
